,date,accession_number,ticker,quantity,price,total_trans_cost,total_shares_after_trans
0,2022-01-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
1,2022-01-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
2,2022-01-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
3,2022-01-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
4,2022-01-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
5,2022-01-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
6,2022-01-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
7,2022-01-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
8,2022-01-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
9,2022-01-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
10,2022-01-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
11,2022-01-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
12,2022-01-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
13,2022-01-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
14,2022-02-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
15,2022-02-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
16,2022-02-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
17,2022-02-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
18,2022-02-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
19,2022-02-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
20,2022-02-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
21,2022-02-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
22,2022-02-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
23,2022-02-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
24,2022-02-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
25,2022-02-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
26,2022-02-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
27,2022-02-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
28,2022-03-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
29,2022-03-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
30,2022-03-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
31,2022-03-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
32,2022-03-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
33,2022-03-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
34,2022-03-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
35,2022-03-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
36,2022-03-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
37,2022-03-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
38,2022-03-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
39,2022-03-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
40,2022-03-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
41,2022-03-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
42,2022-04-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
43,2022-04-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
44,2022-04-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
45,2022-04-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
46,2022-04-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
47,2022-04-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
48,2022-04-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
49,2022-04-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
50,2022-04-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
51,2022-04-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
52,2022-04-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
53,2022-04-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
54,2022-04-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
55,2022-04-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
56,2022-05-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
57,2022-05-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
58,2022-05-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
59,2022-05-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
60,2022-05-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
61,2022-05-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
62,2022-05-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
63,2022-05-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
64,2022-05-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
65,2022-05-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
66,2022-05-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
67,2022-05-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
68,2022-05-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
69,2022-05-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
70,2022-06-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
71,2022-06-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
72,2022-06-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
73,2022-06-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
74,2022-06-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
75,2022-06-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
76,2022-06-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
77,2022-06-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
78,2022-06-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
79,2022-06-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
80,2022-06-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
81,2022-06-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
82,2022-06-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
83,2022-06-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
84,2022-07-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
85,2022-07-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
86,2022-07-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
87,2022-07-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
88,2022-07-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
89,2022-07-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
90,2022-07-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
91,2022-07-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
92,2022-07-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
93,2022-07-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
94,2022-07-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
95,2022-07-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
96,2022-07-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
97,2022-07-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
98,2022-08-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
99,2022-08-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
100,2022-08-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
101,2022-08-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
102,2022-08-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
103,2022-08-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
104,2022-08-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
105,2022-08-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
106,2022-08-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
107,2022-08-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
108,2022-08-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
109,2022-08-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
110,2022-08-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
111,2022-08-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
112,2022-09-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
113,2022-09-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
114,2022-09-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
115,2022-09-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
116,2022-09-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
117,2022-09-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
118,2022-09-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
119,2022-09-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
120,2022-09-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
121,2022-09-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
122,2022-09-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
123,2022-09-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
124,2022-09-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
125,2022-09-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
126,2022-10-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
127,2022-10-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
128,2022-10-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
129,2022-10-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
130,2022-10-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
131,2022-10-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
132,2022-10-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
133,2022-10-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
134,2022-10-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
135,2022-10-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
136,2022-10-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
137,2022-10-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
138,2022-10-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
139,2022-10-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
140,2022-11-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
141,2022-11-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
142,2022-11-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
143,2022-11-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
144,2022-11-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
145,2022-11-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
146,2022-11-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
147,2022-11-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
148,2022-11-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
149,2022-11-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
150,2022-11-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
151,2022-11-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
152,2022-11-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
153,2022-11-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
154,2022-12-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
155,2022-12-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
156,2022-12-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
157,2022-12-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
158,2022-12-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
159,2022-12-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
160,2022-12-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
161,2022-12-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
162,2022-12-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
163,2022-12-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
164,2022-12-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
165,2022-12-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
166,2022-12-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
167,2022-12-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
